# time scale_factor entropy
22.400000 19527304666119336.000000 29732586727777624.000000
22.420000 20114005204466912.000000 28690099091800536.000000
22.440000 20713011509044456.000000 27618921356731644.000000
22.460000 21322103584975672.000000 26520124700306028.000000
22.480000 21939132401041492.000000 25394807919180104.000000
22.500000 22562017986239872.000000 24244096330135000.000000
22.520000 23188747659908932.000000 23069140644759760.000000
22.540000 23817374387052156.000000 21871115818739760.000000
22.560000 24446015250885700.000000 20651219876901024.000000
22.580000 25072850034991860.000000 19410672715185384.000000
22.600000 25696119907810356.000000 18150714880754556.000000
22.620000 26314126202531000.000000 16872606331442978.000000
22.640000 26925229285768576.000000 15577625175799954.000000
22.660000 27527847508703876.000000 14267066394981132.000000
22.680000 28120456234664784.000000 12942240547767326.000000
22.700000 28701586937398632.000000 11604472460005754.000000
22.720000 29269826364552300.000000 10255099899784180.000000
22.740000 29823815761130772.000000 8895472239662819.000000
22.760000 30362250147948004.000000 7526949107301793.000000
22.780000 30883877650317184.000000 6150899025833467.000000
22.800000 31387498872450948.000000 4768698045339309.000000
22.820000 31871966313256416.000000 3381728366799810.000000
22.840000 32336183819415576.000000 1991376959893511.750000
22.860000 32779106071838924.000000 599034176027319.750000
22.880000 33199738101769852.000000 793907642014899.375000
22.900000 33597134832999456.000000 2186055552415103.750000
22.920000 33970400646826488.000000 3576017407262893.000000
22.940000 34318688966565604.000000 4962403244703420.000000
22.960000 34641201858569116.000000 6343826678899242.000000
22.980000 34937189646883472.000000 7718906286416166.000000
23.000000 35205950538811884.000000 9086266987646674.000000
23.020000 35446830258799380.000000 10444541421889534.000000
23.040000 35659221688196076.000000 11792371314710504.000000
23.060000 35842564508589176.000000 13128408836216768.000000
23.080000 35996344846524056.000000 14451317948886810.000000
23.100000 36120094917560264.000000 15759775743607966.000000
23.120000 36213392667729368.000000 17052473762585516.000000
23.140000 36275861410578680.000000 18328119307800480.000000
23.160000 36307169458097952.000000 19585436733707640.000000
23.180000 36307029743935640.000000 20823168722881100.000000
23.200000 36275199437417080.000000 22040077543331676.000000
23.220000 36211479546979408.000000 23234946286238916.000000
23.240000 36115714511737144.000000 24406580082859920.000000
23.260000 35987791779988408.000000 25553807299398068.000000
23.280000 35827641373564688.000000 26675480708636812.000000
23.300000 35635235437017156.000000 27770478637166920.000000
23.320000 35410587770719872.000000 28837706087059864.000000
23.340000 35153753347054772.000000 29876095830865740.000000
23.360000 34864827808925376.000000 30884609478840764.000000
23.380000 34543946949925676.000000 31862238517336940.000000
23.400000 34191286175567740.000000 32808005317315772.000000
23.420000 33807059945046340.000000 33720964111977304.000000
23.440000 33391521193091392.000000 34600201942526836.000000
23.460000 32944960731529280.000000 35444839571133864.000000
23.480000 32467706630242268.000000 36254032360169744.000000
23.500000 31960123577281308.000000 37026971116845464.000000
23.520000 31422612217951548.000000 37762882902404328.000000
23.540000 30855608472751896.000000 38461031805060800.000000
23.560000 30259582834110148.000000 39120719675912200.000000
23.580000 29635039641913412.000000 39741286827087696.000000
23.600000 28982516337889928.000000 40322112691436096.000000
23.620000 28302582698952964.000000 40862616443093072.000000
23.640000 27595840049670232.000000 41362257578306944.000000
23.660000 26862920454073356.000000 41820536455942512.000000
23.680000 26104485887071160.000000 42236994797122144.000000
23.700000 25321227385778204.000000 42611216143504648.000000
23.720000 24513864181115968.000000 42942826273743648.000000
23.740000 23683142810088292.000000 43231493577708896.000000
23.760000 22829836209175416.000000 43476929388096448.000000
23.780000 21954742789332012.000000 43678888269095896.000000
23.800000 21058685493113992.000000 43837168261826248.000000
23.820000 20142510834496832.000000 43951611086294776.000000
23.840000 19207087921984452.000000 44022102299677008.000000
23.860000 18253307465642404.000000 44048571410759568.000000
23.880000 17399203415998152.000000 44030991950431368.000000
23.900000 16652881270907522.000000 43969381498152728.000000
23.920000 16008828297117124.000000 43863801664375944.000000
23.940000 15461742444972190.000000 43714358028934784.000000
23.960000 15006522002827734.000000 43521200035464680.000000
23.980000 14638255833503630.000000 43284520841959120.000000
24.000000 14352214163428044.000000 43004557127611600.000000
24.020000 14143839896516948.000000 42681588856136472.000000
24.040000 14008740426170858.000000 42315938995805192.000000
24.060000 13942679920037044.000000 41907973196478120.000000
24.080000 13941572053389720.000000 41458099423954568.000000
24.100000 14001473168125204.000000 40966767552007064.000000
24.120000 14118575835456952.000000 40434468912507544.000000
24.140000 14289202801429412.000000 39861735804095520.000000
24.160000 14509801295352802.000000 39249140959879408.000000
24.180000 14776937682195584.000000 38597296974703400.000000
24.200000 15087292440860174.000000 37906855692552712.000000
24.220000 15437655451112708.000000 37178507554709456.000000
24.240000 15824921572741496.000000 36412980909311488.000000
24.260000 16246086501283538.000000 35611041283004216.000000
24.280000 16698242885385994.000000 34773490615413940.000000
24.300000 17178576691561678.000000 33901166457208244.000000
24.320000 17684363802756482.000000 32994941132545348.000000
24.340000 18212966837773676.000000 32055720866749896.000000
24.360000 18761832179196988.000000 31084444880087704.000000
24.380000 19328487198022796.000000 30082084448545424.000000
24.400000 19910537663753192.000000 29049641932554588.000000
24.420000 20505665329217316.000000 27988149774631204.000000
24.440000 21111625679879828.000000 26898669466933196.000000
24.460000 21726245837863688.000000 25782290489768244.000000
24.480000 22347422611360848.000000 24640129222113524.000000
24.500000 22973120680530252.000000 23473327825236696.000000
24.520000 23601370911388552.000000 22283053100534632.000000
24.540000 24230268789586420.000000 21070495322732028.000000
24.560000 24857972966333104.000000 19836867049606696.000000
24.580000 25482703909084944.000000 18583401909431756.000000
24.600000 26102742649950612.000000 17311353367347384.000000
24.620000 26716429625088096.000000 16021993471895664.000000
24.640000 27322163598676172.000000 14716611582972050.000000
24.660000 27918400665337468.000000 13396513082465464.000000
24.680000 28503653325171720.000000 12063018068876410.000000
24.700000 29076489625827188.000000 10717460037218484.000000
24.720000 29635532366295896.000000 9361184545523336.000000
24.740000 30179458357365420.000000 7995547869282665.000000
24.760000 30706997733896336.000000 6621915645172712.000000
24.780000 31216933314321168.000000 5241661505417587.000000
24.800000 31708100002978112.000000 3856165704157042.000000
24.820000 32179384231101184.000000 2466813737192342.000000
24.840000 32629723432488804.000000 1074994956490448.625000
24.860000 33058105550064808.000000 317898819167934.750000
24.880000 33463568569730572.000000 1710474696007150.500000
24.900000 33845200078084436.000000 3101340098150358.500000
24.920000 34202136840755156.000000 4489104160195416.500000
24.940000 34533564398260316.000000 5872379118080278.000000
24.960000 34838716676458656.000000 7249781696847060.000000
24.980000 35116875608817396.000000 8619934493916997.000000
25.000000 35367370767862340.000000 9981467356493016.000000
25.020000 35589579003319692.000000 11333018751712538.000000
25.040000 35782924084594980.000000 12673237128180350.000000
25.060000 35946876345365864.000000 14000782267519982.000000
25.080000 36080952328192568.000000 15314326624592098.000000
25.100000 36184714427172200.000000 16612556655039616.000000
25.120000 36257770526781728.000000 17894174128832098.000000
25.140000 36299773635168696.000000 19157897428495748.000000
25.160000 36310421510259496.000000 20402462830730896.000000
25.180000 36289456277162088.000000 21626625770135320.000000
25.200000 36236664035443472.000000 22829162083769608.000000
25.220000 36151874454962568.000000 24008869235320120.000000
25.240000 36034960359036192.000000 25164567517635316.000000
25.260000 35885837293809804.000000 26295101232432880.000000
25.280000 35704463082795676.000000 27399339845998012.000000
25.300000 35490837365629520.000000 28476179119717140.000000
25.320000 35245001120181964.000000 29524542214316560.000000
25.340000 34967036167244240.000000 30543380766701648.000000
25.360000 34657064657087788.000000 31531675938320048.000000
25.380000 34315248537275336.000000 32488439434000116.000000
25.400000 33941789001176648.000000 33412714490246192.000000
25.420000 33536925916715268.000000 34303576832002016.000000
25.440000 33100937234943728.000000 35160135596925856.000000
25.460000 32634138378113476.000000 35981534226252752.000000
25.480000 32136881606972532.000000 36766951321353400.000000
25.500000 31609555367088664.000000 37515601465132696.000000
25.520000 31052583614058552.000000 38226736007446856.000000
25.540000 30466425117524188.000000 38899643813753568.000000
25.560000 29851572743976612.000000 39533651976246536.000000
25.580000 29208552718384160.000000 40128126486763248.000000
25.600000 28537923864737468.000000 40682472870793208.000000
25.620000 27840276825656972.000000 41196136781952360.000000
25.640000 27116233261260212.000000 41668604556329568.000000
25.660000 26366445027536108.000000 42099403726150440.000000
25.680000 25591593334521692.000000 42488103492245168.000000
25.700000 24792387884623120.000000 42834315154847648.000000
25.720000 23969565991467768.000000 43137692502295280.000000
25.740000 23123891679717404.000000 43397932157240608.000000
25.760000 22256154766313948.000000 43614773880028720.000000
25.780000 21367169923669476.000000 43788000828936784.000000
25.800000 20457775725350368.000000 43917439777015920.000000
25.820000 19528833674842492.000000 44002961285318032.000000
25.840000 18581227218019528.000000 44044479832334824.000000
25.860000 17688470974266792.000000 44041953899519288.000000
25.880000 16905456581651948.000000 43995386012804240.000000
25.900000 16226595538462002.000000 43904822740076376.000000
25.920000 15646513765439818.000000 43770354644608440.000000
25.940000 15160041051073104.000000 43592116194495896.000000
25.960000 14762201089455184.000000 43370285628188848.000000
25.980000 14448202080857682.000000 43105084776253624.000000
26.000000 14213427866583702.000000 42796778839542144.000000
26.020000 14053429571027296.000000 42445676123991120.000000
26.040000 13963917725154816.000000 42052127732316104.000000
26.060000 13940754846849384.000000 41616527212908768.000000
26.080000 13979948454724698.000000 41139310166288520.000000
26.100000 14077644493121502.000000 40620953809502000.000000
26.120000 14230121147052588.000000 40061976498905960.000000
26.140000 14433783026862656.000000 39462937211811024.000000
26.160000 14685155703320592.000000 38824434987504280.000000
26.180000 14980880574766204.000000 38147108328210024.000000
26.200000 15317710048793496.000000 37431634560587560.000000
26.220000 15692503021770616.000000 36678729158404512.000000
26.240000 16102220640274658.000000 35889145027063056.000000
26.260000 16543922329259684.000000 35063671750694540.000000
